file,non_null_fields,keys
data/oem_specs/hyundai/FichaTecnica_Creta2026.pdf,20,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_potencia_hp;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/hyundai/FichaTecnica_GrandFacelift2026.pdf,21,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/hyundai/Ficha_Tecnica_Gi10HB_2026.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_potencia_hp;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/hyundai/Ficha_Tecnica_Gi10SD_2026.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_potencia_hp;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/hyundai/Fichatecnica_elantrahibrido2026.pdf,22,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_torque_nm;mot_transmision;seg_act_abs;seg_act_esp
