make,model,anio,segmento,unidades
TOYOTA,PRIUS,2025,DE LUJO,17
TOYOTA,PRIUS-C,2025,SUBCOMPACTOS,0
TOYOTA,RAIZE,2025,SUV'S,557
TOYOTA,RAV4,2025,SUV'S,1825
TOYOTA,SEQUOIA,2025,SUV'S,8
TOYOTA,SIENNA,2025,MINIVANS,732
TOYOTA,TACOMA,2025,PICK UPS,0
TOYOTA,TACOMA-,2025,PICK UPS,588
TOYOTA,TUNDRA,2025,PICK UPS,83
TOYOTA,YARIS HATCHBACK,2025,SUBCOMPACTOS,236
TOYOTA,YARIS SEDAN,2025,SUBCOMPACTOS,1200
TOYOTA,YARIS-R,2025,SUBCOMPACTOS,0
VOLKSWAGEN,AMAROK,2025,PICK UPS,100
VOLKSWAGEN,BEETLE,2025,COMPACTOS,0
VOLKSWAGEN,BEETLE CABRIO,2025,COMPACTOS,0
VOLKSWAGEN,CRAFTER,2025,PICK UPS,72
VOLKSWAGEN,CRAFTER CHASIS,2025,SUV'S,0
VOLKSWAGEN,CROSS SPORT,2025,SUV'S,0
VOLKSWAGEN,CROSSFOX,2025,SUBCOMPACTOS,0
VOLKSWAGEN,E-CRAFTER,2025,SUV'S,3
VOLKSWAGEN,GOL,2025,SUBCOMPACTOS,0
VOLKSWAGEN,GOL SEDAN,2025,SUBCOMPACTOS,0
VOLKSWAGEN,GOLF,2025,COMPACTOS,0
VOLKSWAGEN,GOLF VARIANT-/CROSSGOLF,2025,COMPACTOS,0
VOLKSWAGEN,GOLF-,2025,COMPACTOS,0
VOLKSWAGEN,GTI,2025,DEPORTIVOS,122
VOLKSWAGEN,JETTA,2025,COMPACTOS,0
VOLKSWAGEN,NIVUS,2025,SUV'S,190
VOLKSWAGEN,NUEVO JETTA,2025,COMPACTOS,1433
VOLKSWAGEN,NUEVO JETTA TDI,2025,COMPACTOS,0
VOLKSWAGEN,PASSAT,2025,DE LUJO,0
VOLKSWAGEN,POLO 4 PTAS,2025,SUBCOMPACTOS,846
VOLKSWAGEN,SAVEIRO,2025,PICK UPS,1200
VOLKSWAGEN,T-CROSS,2025,SUV'S,1
VOLKSWAGEN,TAIGUN,2025,SUV'S,1590
VOLKSWAGEN,TAOS,2025,SUV'S,1445
VOLKSWAGEN,TERAMONT,2025,SUV'S,531
VOLKSWAGEN,TIGUAN-,2025,SUV'S,1417
VOLKSWAGEN,TOUAREG,2025,SUV'S,0
VOLKSWAGEN,TRANSPORTER CARGA,2025,SUV'S,39
VOLKSWAGEN,TRANSPORTER PASAJEROS,2025,SUV'S,35
VOLKSWAGEN,UP!,2025,SUBCOMPACTOS,0
VOLKSWAGEN,VENTO,2025,SUBCOMPACTOS,0
VOLKSWAGEN,VIRTUS,2025,SUBCOMPACTOS,3038
VOLKSWAGEN,VOLKSWAGEN CADDY,2025,PICK UPS,82
VOLVO,C40,2025,DE LUJO,34
VOLVO,EX30,2025,SUV'S,261
VOLVO,XC40,2025,DE LUJO,95
VOLVO,XC60 II,2025,SUV'S,84
VOLVO,XC90 II,2025,SUV'S,38
