make,model,version,ano,mot_tipo_motor,mot_potencia_hp,mot_torque_nm,mot_aspiracion,mot_traccion,mot_transmision,mot_marchas,dim_largo_mm,dim_ancho_mm,dim_alto_mm,dim_batalla_mm,dim_peso_kg,cap_baul_l,cap_carga_util_kg,remolque_frenado_kg,cap_plazas,seg_pas_airbags_cnt,seg_act_abs,seg_act_esp,eff_consumo_l_100km,eff_kwh_100km,eff_co2_g_km,bateria_kwh,autonomia_km,carga_dc_kw,carga_ac_kw,info_pantalla_pulg,info_android_auto,info_apple_carplay,info_camara_360,info_cargador_inalambrico,amen_techo_panoramico,conf_asientos_calefaccion,conf_asientos_ventilacion,adas_aeb,adas_acc,adas_lka,adas_bsm,adas_rcta,luces_matriz_led,chasis_frenos_del,chasis_frenos_tras,chasis_susp_del,chasis_susp_tras,ruedas_neumatico_medida,ruedas_rin_pulg,angulo_ataque_deg,angulo_salida_deg,angulo_quiebre_deg,despeje_suelo_mm,cap_tanque_l,fuente_url,ano_source
CHEVROLET,CAPTIVA,PREMIER BLACK EDITION D,2025,gasolina,1.5,,,,AUTOMÁTICA,,,,,,,,,,,,1,1,,,,,,,,10.4,1,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/catalogo-captiva-black-edition-2025.pdf,file:ano
CHEVROLET,GROOVE,LT Automático E,2026,gasolina,4.0,,,,,,,,,,,,,,,2,0,0,,,,,,,,10.25,1,1,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/catalogo-groove-2026.pdf,file:ano
CHEVROLET,SUBURBAN,5.3L D 4X4 PIEL DVD QUEMACOCOS,2025,gasolina,5.6,,,4X4,AUTOMÁTICA,10,,,,,,,,,,2,0,0,,,,,,,,,1,1,0,1,1,0,0,1,1,1,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/catalogo-suburban-2025.pdf,file:ano
CHEVROLET,BLAZER,PIEL B,2025,,6.7,,,,AUTOMÁTICA,9,,,,,,,,,,2,0,1,,,,,,,,11.0,1,1,0,1,1,0,0,1,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/ficha-tecnica-blazer-2025-tld.pdf,file:ano
CHEVROLET,CAPTIVA,PREMIER BLACK EDITION D,2025,gasolina,184.0,,,,●,,,,,,,,,,,2,1,0,,,,,,,,10.4,1,1,1,0,0,0,0,0,0,0,0,0,0,,,●,,,,,,,,,file://data/oem_specs_processed/chevrolet/ficha-tecnica-captiva-black-edition-2025-v2.pdf,file:ano
CHEVROLET,GROOVE,LT Automático E,2025,gasolina,,,,,●,6,,,,,,,,,,216,1,0,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,,,●,,●,,,,,,,file://data/oem_specs_processed/chevrolet/ficha-tecnica-groove-2025-tld.pdf,file:ano
CHEVROLET,GROOVE,LT Automático E,2026,LT TM,188.0,,,●,●,6,,,,,,,,,,,1,0,,,,,,,,,1,1,0,0,0,0,0,1,1,1,0,0,0,,,,●,,,,,,,,file://data/oem_specs_processed/chevrolet/ficha-tecnica-groove-2026.pdf,file:ano
CHEVROLET,SUBURBAN,5.3L D 4X4 PIEL DVD QUEMACOCOS,2025,●,5.6,,,4x2,●,10,,,,,,,,,,2,0,0,,,,,,,,12.6,1,1,0,1,1,0,0,1,1,1,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/ficha-tecnica-suburban-2025.pdf,file:ano
FORD,BRONCO,BADLANDS 2 PUERTAS,2025,gasolina,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-bronco-2025-catalogo-descargable.pdf,file:ano
FORD,BRONCO SPORT,BIG BEND 1.5L 4X4,2025,gasolina,,,,4X4,AUTOMÁTICA,8,,,,,,,,,,,0,0,,,,,,,,13.2,1,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-bronco-sport-2025-catalogo-descargable.pdf,file:ano
FORD,EXPEDITION,PLATINUM MAX 4X4 3.5L ECOBOOST CON SISTE,2025,,,,,4X4,AUTOMÁTICA,10,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-expedition-2025-catalogo-descargable.pdf,file:ano
FORD,LOBO,LOBO SUP CAB 4X4 LARIAT SIN QC,2025,híbrido,,,,4X4,,,,,,,,,,,,,0,1,,,,,,,,12.0,1,1,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-lobo-2025-catalogo-descargable.pdf,file:ano
FORD,MAVERICK,LARIAT HIBRIDA AWD,2025,híbrido,,,,FWD,AUTOMÁTICA,8,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-maverick-2025-catalogo-descargable.pdf,file:ano
FORD,MUSTANG,DARK HORSE COUPE V8 5.0L AUTOMATICO PIEL,2025,,,,,,,,,,,,,,,,,,0,0,,,,,,,,13.2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-mustang-2025-catalogo-descargable.pdf,text:ano_modelo
FORD,MUSTANG,GT PREMIUM FASTBACK V8 TA FREDDY VAN B,2025,,,,,RWD,,,,,,,,,,,,,0,0,,,,,,,,15.5,1,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-mustang-mach-e-2025-catalogo-descargable.pdf,file:ano
FORD,RANGER,CREW CAB XLT 4X4 DIESEL 3.2L I5 6VEL AUT,2025,diésel,,,,4X4,AUTOMÁTICA,10,,,,,,,,,,,0,0,,,,,,,,12.0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-ranger-2025-catalogo-descargable.pdf,file:ano
FORD,TERRITORY,AMBIENTE FWD 1.8L,2025,gasolina,,,,FWD,AUTOMÁTICA,7,,,,,,,,,,,1,0,,,,,,,,12.0,1,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-territory-2025-catalogo-descargable.pdf,file:ano
FORD,TERRITORY,TITANIUM FWD 1.8L,2026,gasolina,,,,FWD,,7,,,,,,,,,,,0,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-territory-2026-catalogo-descargable.pdf,file:ano
GMC,TERRAIN,DENALI D,2019,gasolina,,,,,AUTOMÁTICA,9,,,,,,,,,,2,1,1,,,,,,,,,1,1,1,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/2019-gmc-terrain-model-overview-catalogo.pdf,file:ano
GMC,TERRAIN,DENALI D,2026,gasolina,,,,,,,,,,,,,,,,,1,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/2026-gmc-terrain.pdf,file:ano
25,GMC,Hummer,2025,gasolina,,,,,,,,,,,,,,,,,1,1,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/25_GMC_Hummer_EV_OM_es_MX_U_MX_18270642A_2024OCT10.pdf,text:ano
CATALOGO,Hummer,25,,eléctrico,11.5,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/Catalogo-Hummer-25-Desktop.pdf,
GMC,HUMMER,20EV,2024,gasolina,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/GMC_HUMMER_20EV_AWD_SUV_2024_5d_Electric_EN_1GT-22101.pdf,file:ano
GMC,HUMMER,20EV,2024,eléctrico,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/GMC_HUMMER_20EV_AWD_SUV_2024_5d_Electric_MX_1GT-22101.pdf,file:ano
GMC,SIERRA,4X4 ALL TERRAIN CREW CAB D,2025,,460.0,,,4X4,,10,,,,,,,,,,,0,0,,,,,,,,13.4,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/catalogo-sierra-2025-desktop.pdf,file:ano
GMC,TERRAIN,AT4 C,2026,gasolina,203.0,,,,,8,,,,,,,,,,,0,0,,,,,,,,15.0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/catalogo-terrain-2026.pdf,text:MY
GMC,CANYON,AT4 D,2025,gasolina,4.0,,,,AUTOMÁTICA,8,,,,,,,,,,,0,0,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/gmc-canyon-2025-catalogo-escritorio.pdf,file:ano
GMC,etiquetas,rendimiento,2023,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/gmc-etiquetas-rendimiento-2023-copy.pdf,file:ano
GMC,YUKON,B PIEL,2007,,,,,,,10,,,,,,,,,,,0,0,,,,,,,,16.8,1,1,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/gmc-yukon-catalogo-escritorio.pdf,
