make,model,version,ano,mot_tipo_motor,mot_potencia_hp,mot_torque_nm,mot_aspiracion,mot_traccion,mot_transmision,mot_marchas,dim_largo_mm,dim_ancho_mm,dim_alto_mm,dim_batalla_mm,dim_peso_kg,cap_baul_l,cap_carga_util_kg,remolque_frenado_kg,cap_plazas,seg_pas_airbags_cnt,seg_act_abs,seg_act_esp,eff_consumo_l_100km,eff_kwh_100km,eff_co2_g_km,bateria_kwh,autonomia_km,carga_dc_kw,carga_ac_kw,info_pantalla_pulg,info_android_auto,info_apple_carplay,info_camara_360,info_cargador_inalambrico,amen_techo_panoramico,conf_asientos_calefaccion,conf_asientos_ventilacion,adas_aeb,adas_acc,adas_lka,adas_bsm,adas_rcta,luces_matriz_led,chasis_frenos_del,chasis_frenos_tras,chasis_susp_del,chasis_susp_tras,ruedas_neumatico_medida,ruedas_rin_pulg,angulo_ataque_deg,angulo_salida_deg,angulo_quiebre_deg,despeje_suelo_mm,cap_tanque_l,fuente_url,ano_source,ano_catalog,audit_status
CHEVROLET,CAPTIVA,PREMIER BLACK EDITION D,2026,gasolina,184.0,,,,●,,,,,,,,,,,2.0,1,0,,,,,,,,10.4,1,1,1,0,0,0,0,0,0,0,0,0,0,,,●,,,,,,,,,file://data/oem_specs_processed/chevrolet/Ficha-Tecnica-Captiva-2026.pdf,file:ano,2025,conflict
CHEVROLET,ONIX,LT D,2025,●,,,,,●,5.0,,,,,,,,,,2.0,1,0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/Ficha-Tecnica-Onix-2025-TLD.pdf,file:ano,2021,conflict
CHEVROLET,ONIX,LT D,2026,●,,,,,●,5.0,,,,,,,,,,2.0,1,0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/Ficha-Tecnica-Onix-2026-TLD.pdf,file:ano,2021,conflict
CHEVROLET,TAHOE,HIGH COUNTRY G,2025,●,5.6,,,4X4,AUTOMÁTICA,10.0,,,,,,,,,,2.0,0,0,,,,,,,,12.6,1,0,0,1,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/Ficha-Tecnica-Tahoe-2025-TLD.pdf,file:ano,2021,conflict
CHEVROLET,TRACKER,4X2 HARD TOP AT BASE A,2025,gasolina,5.5,,,,●,5.0,,,,,,,,,,2.0,1,0,,,,,,,,,1,1,0,1,0,0,0,0,0,0,1,0,0,●,,●,,,,,,,,,file://data/oem_specs_processed/chevrolet/Ficha-Tecnica-Tracker-2025-TLD.pdf,file:ano,1998,conflict
CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2025,●,5.8,,,,●,6.0,,,,,,475.0,,,,2.0,1,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/Ficha_Tecnica_Aveo_Sedan_2025_v3.pdf,file:ano,2015,conflict
CHEVROLET,TRAVERSE,LT PIEL CON QUEMACOCOS B,2025,gasolina,5.5,,,FWD,AUTOMÁTICA,8.0,,,,,,,,,7.0,,1,0,,,,,,,,17.7,1,1,0,0,0,0,0,1,1,0,0,0,0,●,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/Ficha_Tecnica_Traverse_2025_TLD.pdf,file:ano,2009,conflict
MANUAL,DE,PROPIETARIO,2026,gasolina,,,,,AUTOMÁTICA,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/Manual-de-Propietario-2026.pdf,file:ano,,ok
CHEVROLET,ONIX,LT D,2024,gasolina,,71.0,,,AUTOMÁTICA,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/Manual-de-Propietario-Onix-MY2025.pdf,text:ano,2021,conflict
CHEVROLET,TRAVERSE,LT PIEL CON QUEMACOCOS B,2025,gasolina,,,,,,,,,,,,,,,,,1,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/Traverse-2025-manual-de-propietario.pdf,file:ano,2009,conflict
