page_url,pdf_url,anchor_text,status,saved_path
https://www.gwm-mx.com/es/news-list/2023/haval-jolion,https://www.gwm-mx.com/content/dam/gwm/pages/mx/es/owner/support/Catálogo_Accesorios_Abril_2025.pdf,Accesorios,saved,data/oem_specs/gwm/Cat_logo_Accesorios_Abril_2025.pdf
https://www.gwm-mx.com/es/news-list/2023/ora-03,https://www.gwm-mx.com/content/dam/gwm/pages/mx/es/owner/support/Catálogo_Accesorios_Abril_2025.pdf,Accesorios,saved,data/oem_specs/gwm/Cat_logo_Accesorios_Abril_2025.pdf
https://www.gwm-mx.com/es/news-list/2024/poer,https://www.gwm-mx.com/content/dam/gwm/pages/mx/es/owner/support/Catálogo_Accesorios_Abril_2025.pdf,Accesorios,saved,data/oem_specs/gwm/Cat_logo_Accesorios_Abril_2025.pdf
