file_path,file_name,make,model,version,ano,ano_source,text_len,pages_scanned,has_tables,ts_processed
data/oem_specs/chevrolet/2025-Ficha-Tecnica-Trax.pdf,2025-Ficha-Tecnica-Trax.pdf,CHEVROLET,TRAX,B LT,2025,file:ano,4862,6,1,2025-09-06T03:06:18.243124
data/oem_specs/chevrolet/2025-Manual-de-Propietario-Aveo-HB.pdf,2025-Manual-de-Propietario-Aveo-HB.pdf,CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2025,file:ano,10053,6,0,2025-09-06T03:06:20.034403
data/oem_specs/chevrolet/2025-Trax-NG-Manual-de-Propietario.pdf,2025-Trax-NG-Manual-de-Propietario.pdf,CHEVROLET,TRAX,B LT,2025,file:ano,6304,6,0,2025-09-06T03:06:22.092710
data/oem_specs/chevrolet/2025-suburban-manual-de-propietario.pdf,2025-suburban-manual-de-propietario.pdf,CHEVROLET,SUBURBAN,LT C,2025,file:ano,8258,6,0,2025-09-06T03:06:24.164152
data/oem_specs/chevrolet/2025-tahoe-manual-de-propietario.pdf,2025-tahoe-manual-de-propietario.pdf,CHEVROLET,TAHOE,LT C,2025,file:ano,8258,6,0,2025-09-06T03:06:26.242618
data/oem_specs/chevrolet/2026-groove-manual-propietario.pdf,2026-groove-manual-propietario.pdf,CHEVROLET,GROOVE,LT MANUAL D,2026,file:ano,8912,6,0,2025-09-06T03:06:27.835454
data/oem_specs/chevrolet/2026_Captiva_Manual_de_Propietario.pdf,2026_Captiva_Manual_de_Propietario.pdf,CHEVROLET,CAPTIVA,LT A,2026,file:ano,8996,6,0,2025-09-06T03:06:29.597221
data/oem_specs/chevrolet/25-CHEV-Groove-Manual-de-propietario-v1.pdf,25-CHEV-Groove-Manual-de-propietario-v1.pdf,CHEVROLET,GROOVE,LT MANUAL D,2025,text:ano,9458,6,0,2025-09-06T03:06:32.280897
data/oem_specs/chevrolet/25-chev-aveo-om-manual-de-propietario.pdf,25-chev-aveo-om-manual-de-propietario.pdf,CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2024,text:ano,10053,6,0,2025-09-06T03:06:34.138950
data/oem_specs/chevrolet/Catalogo-Accesorios-Captiva-2026.pdf,Catalogo-Accesorios-Captiva-2026.pdf,CATALOGO,Accesorios,Captiva,2026,file:ano,1215,6,0,2025-09-06T03:06:35.401303
data/oem_specs/chevrolet/Catalogo-Accesorios-Groove-2025-TLD.pdf,Catalogo-Accesorios-Groove-2025-TLD.pdf,KIA,RIO,EX 1.6 AT,2025,file:ano,1301,6,0,2025-09-06T03:06:36.708108
data/oem_specs/chevrolet/Catalogo-Accesorios-Onix-2025-TLD.pdf,Catalogo-Accesorios-Onix-2025-TLD.pdf,CHEVROLET,ONIX,LT D,2025,file:ano,1014,6,0,2025-09-06T03:06:37.900683
data/oem_specs/chevrolet/Catalogo-Accesorios-Onix-2026.pdf,Catalogo-Accesorios-Onix-2026.pdf,KIA,RIO,EX 1.6 AT,2026,file:ano,866,6,0,2025-09-06T03:06:39.233458
data/oem_specs/chevrolet/Catalogo-Accesorios-Suburban-2025-TLD.pdf,Catalogo-Accesorios-Suburban-2025-TLD.pdf,CHEVROLET,SUBURBAN,HIGH COUNTRY G,2025,file:ano,1588,6,0,2025-09-06T03:06:40.523452
data/oem_specs/chevrolet/Catalogo-Accesorios-Tahoe-2025-TLD.pdf,Catalogo-Accesorios-Tahoe-2025-TLD.pdf,CHEVROLET,TAHOE,HIGH COUNTRY G,2025,file:ano,1650,6,0,2025-09-06T03:06:41.884082
data/oem_specs/chevrolet/Catalogo-Aveo-HB-2025-BE.pdf,Catalogo-Aveo-HB-2025-BE.pdf,CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2025,file:ano,5905,6,0,2025-09-06T03:06:43.222485
data/oem_specs/chevrolet/Catalogo-Aveo-Sedan-2026.pdf,Catalogo-Aveo-Sedan-2026.pdf,CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2026,file:ano,5127,6,0,2025-09-06T03:06:44.792579
data/oem_specs/chevrolet/Catalogo-Captiva-2026.pdf,Catalogo-Captiva-2026.pdf,CHEVROLET,CAPTIVA,PREMIER BLACK EDITION D,2026,file:ano,4843,6,0,2025-09-06T03:06:46.183120
data/oem_specs/chevrolet/Catalogo-Groove-2025-TLD.pdf,Catalogo-Groove-2025-TLD.pdf,CHEVROLET,GROOVE,LT MANUAL D,2025,file:ano,4238,6,0,2025-09-06T03:06:47.599802
data/oem_specs/chevrolet/Catalogo-Onix-2025-TLD.pdf,Catalogo-Onix-2025-TLD.pdf,CHEVROLET,ONIX,LT D,2025,file:ano,5402,6,0,2025-09-06T03:06:48.858909
data/oem_specs/chevrolet/Catalogo-Onix-2026-TLD.pdf,Catalogo-Onix-2026-TLD.pdf,CHEVROLET,ONIX,LT D,2026,file:ano,4591,6,0,2025-09-06T03:06:50.117368
data/oem_specs/chevrolet/Catalogo-Tahoe-2025.pdf,Catalogo-Tahoe-2025.pdf,CHEVROLET,TAHOE,HIGH COUNTRY G,2025,file:ano,6851,6,0,2025-09-06T03:06:51.900598
data/oem_specs/chevrolet/Catalogo-Tracker-2025-TLD.pdf,Catalogo-Tracker-2025-TLD.pdf,CHEVROLET,TRACKER,LT SIN ON H,2025,file:ano,5071,6,0,2025-09-06T03:06:53.288911
data/oem_specs/chevrolet/Catalogo_Accesorios_Traverse_2025_TLD.pdf,Catalogo_Accesorios_Traverse_2025_TLD.pdf,CHEVROLET,TRAVERSE,LT B,2025,file:ano,1042,6,0,2025-09-06T03:06:54.402613
data/oem_specs/chevrolet/Catalogo_Traverse_2025.pdf,Catalogo_Traverse_2025.pdf,CHEVROLET,TRAVERSE,LT PIEL CON QUEMACOCOS B,2025,file:ano,4195,6,0,2025-09-06T03:06:55.626395
data/oem_specs/chevrolet/Ficha-Tecnica-Aveo-Sedan-2026.pdf,Ficha-Tecnica-Aveo-Sedan-2026.pdf,CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2026,file:ano,4268,6,1,2025-09-06T03:06:56.803071
data/oem_specs/chevrolet/Ficha-Tecnica-Captiva-2026.pdf,Ficha-Tecnica-Captiva-2026.pdf,CHEVROLET,CAPTIVA,PREMIER BLACK EDITION D,2026,file:ano,4528,6,1,2025-09-06T03:06:58.216983
data/oem_specs/chevrolet/Ficha-Tecnica-Onix-2025-TLD.pdf,Ficha-Tecnica-Onix-2025-TLD.pdf,CHEVROLET,ONIX,LT D,2025,file:ano,4418,6,1,2025-09-06T03:06:59.437133
data/oem_specs/chevrolet/Ficha-Tecnica-Onix-2026-TLD.pdf,Ficha-Tecnica-Onix-2026-TLD.pdf,CHEVROLET,ONIX,LT D,2026,file:ano,4365,6,1,2025-09-06T03:07:00.663452
data/oem_specs/chevrolet/Ficha-Tecnica-Tahoe-2025-TLD.pdf,Ficha-Tecnica-Tahoe-2025-TLD.pdf,CHEVROLET,TAHOE,HIGH COUNTRY G,2025,file:ano,5350,6,1,2025-09-06T03:07:01.910865
data/oem_specs/chevrolet/Ficha-Tecnica-Tracker-2025-TLD.pdf,Ficha-Tecnica-Tracker-2025-TLD.pdf,CHEVROLET,TRACKER,4X4 LT HARD TOP AT T,2025,file:ano,6183,6,1,2025-09-06T03:07:03.442580
data/oem_specs/chevrolet/Ficha_Tecnica_Aveo_Sedan_2025_v3.pdf,Ficha_Tecnica_Aveo_Sedan_2025_v3.pdf,CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2025,file:ano,4268,6,1,2025-09-06T03:07:04.618795
data/oem_specs/chevrolet/Ficha_Tecnica_Traverse_2025_TLD.pdf,Ficha_Tecnica_Traverse_2025_TLD.pdf,CHEVROLET,TRAVERSE,LT PIEL CON QUEMACOCOS B,2025,file:ano,6585,6,1,2025-09-06T03:07:05.924385
data/oem_specs/chevrolet/Manual-de-Propietario-2026.pdf,Manual-de-Propietario-2026.pdf,MANUAL,de,Propietario,2026,file:ano,6456,6,0,2025-09-06T03:07:07.433543
data/oem_specs/chevrolet/Manual-de-Propietario-Onix-MY2025.pdf,Manual-de-Propietario-Onix-MY2025.pdf,CHEVROLET,ONIX,LT D,2024,text:ano,4849,6,0,2025-09-06T03:07:09.012081
data/oem_specs/chevrolet/Traverse-2025-manual-de-propietario.pdf,Traverse-2025-manual-de-propietario.pdf,CHEVROLET,TRAVERSE,LT B,2025,file:ano,7174,6,0,2025-09-06T03:07:10.629289
data/oem_specs/chevrolet/blazer-2025-manual-de-propietario.pdf,blazer-2025-manual-de-propietario.pdf,CHEVROLET,BLAZER,RS C,2025,file:ano,7933,6,0,2025-09-06T03:07:12.540693
data/oem_specs/chevrolet/captiva-manual-de-propietario.pdf,captiva-manual-de-propietario.pdf,CHEVROLET,CAPTIVA,LT A,2025,text:ano,9016,6,0,2025-09-06T03:07:14.558145
data/oem_specs/chevrolet/catalogo-accesorios-aveo-sedan-2025.pdf,catalogo-accesorios-aveo-sedan-2025.pdf,CHEVROLET,AVEO,"J LS, AUTOMTICO CON A/A, CON RADIO",2025,file:ano,1074,6,0,2025-09-06T03:07:15.963734
