file,non_null_fields,keys
data/oem_specs/honda/Brochure_ACCORD_Petrol_2025.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/honda/Brochure_BRV_2025.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp;seg_pas_airbags_cnt
data/oem_specs/honda/Brochure_CITY_2026.pdf,21,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_baul_l;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;dim_peso_kg;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp;seg_pas_airbags_cnt
data/oem_specs/honda/Brochure_CIVIC_2026.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp;seg_pas_airbags_cnt
data/oem_specs/honda/Brochure_CRV_2026.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_potencia_hp;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/honda/Brochure_HRV_2026.pdf,18,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/honda/Brochure_ODYSSEY_2025.pdf,20,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/honda/Brochure_PILOT_2025.pdf,20,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
