brand,model,page_url,msrp_mxn,bono_mxn,tasa_pct,meses_sin_intereses,enganche_pct,mensualidad_mxn,seguro_gratis,servicios_gratis,vigencia
GAC,PROMOCIONES,https://www.gacmotor.mx/promociones,,,,,,,0,0,
GAC,COTIZAR AHORA,https://www.gacmotor.mx/promo-gac-days,,,,,,,0,0,
