segment,beta_own,beta_cross,r2,n_obs
chasís cabina,-3.4760090389568967,5.073922466370235,0.2538938287222787,115
crossover,2.538492690149316,-15.071685868033509,0.06714775029504982,59
hatchback,-2.112928966209966,3.001553748892362,0.006560066342312099,4230
liftback,-3.4160128864054697,34.93192167493256,0.1370114673204068,67
mini-mini-van,-1.2021024644121525,-1.2021024644121527,1.0,16
pick up doble cabina,-2.331931970281741,7.5816291110746095,0.018973125174681083,195
pick-up,-2.3520085704941414,5.817114426624707,0.022372602488376248,2919
sedan,-2.092563957794101,5.726925974067393,0.005060856958481796,4933
todo terreno,1.508885679645669,-0.13282831677921125,0.0032637097042677032,12986
