Make,Model,Version_sales,match_make,match_model,match_version,match_ano,msrp,precio_transaccion,hp,equipment_score,units
FORD,EXPEDITION,(O)3.5 LIMITED AUTO ES,FORD,EXPEDITION,LIMITED MAX 4X2 3.5L ECOBOOST CON SISTEM,2022.0,1649100.0,1649100.0,375.0,3.0,182.0
FORD,EXPEDITION,3.5 PLATINUM MAX AUTO 4WD,FORD,EXPEDITION,PLATINUM MAX 4X4 3.5L ECOBOOST CON SISTE,2022.0,1830100.0,1830100.0,400.0,4.0,586.0
BMW,I4,BEV 84KWH EDRIVE40 AUTO,BMW,I4,EDRIVE40,2022.0,1380000.0,1380000.0,340.0,5.0,107.0
BMW,I4,(O)BEV 84KWH EDRIVE40 AUTO,BMW,I4,EDRIVE40,2023.0,1435000.0,1435000.0,340.0,6.0,1312.0
BMW,I4,BEV 84KWH EDRIVE40 AUTO,BMW,I4,EDRIVE40,2024.0,1480000.0,1430000.0,340.0,6.0,349.0
INFINITI,QX60,3.5 LUXE AUTO AWD,INFINITI,QX60,3.5L LUXE AWD 22,2022.0,1359900.0,1359900.0,279.0,3.0,36.0
INFINITI,QX60,(O)3.5 LUXE AUTO AWD,INFINITI,QX60,3.5L LUXE AWD 23,2023.0,1449900.0,1199900.0,279.0,3.0,3.0
INFINITI,QX60,3.5 LUXE AUTO AWD,INFINITI,QX60,3.5L LUXE AWD 24,2024.0,1489900.0,1319900.0,279.0,6.0,47.0
INFINITI,QX60,3.5 AUTOGRAPH AUTO AWD,INFINITI,QX60,3.5L AUTOGRAPH AWD 22,2022.0,1549900.0,1549900.0,279.0,3.0,2.0
INFINITI,QX60,3.5 AUTOGRAPH AUTO AWD,INFINITI,QX60,3.5L AUTOGRAPH AWD 23,2023.0,1639900.0,1489900.0,279.0,3.0,8.0
INFINITI,QX60,3.5 AUTOGRAPH AUTO AWD,INFINITI,QX60,3.5L AUTOGRAPH AWD 24,2024.0,1709900.0,1539900.0,279.0,6.0,65.0
JAC,E-J7,BEV 50KWH,JAC,E J7,BEV 50KWH,2022.0,760000.0,760000.0,190.0,2.0,274.0
JAC,E-J7,BEV 50KWH,JAC,E J7,BEV 50KWH,2023.0,730000.0,715000.0,190.0,2.0,35.0
JAC,E-J7,BEV 50KWH,JAC,E J7,BEV 50KWH,2024.0,730000.0,580000.0,190.0,3.0,35.0
FORD,F-150,(O)3.3 V6 XL CREW CAB AUTO 4WD,FORD,F-150,XL 4X4 DOBLE CABINA 3.3L V6 AT,2023.0,1050000.0,1050000.0,290.0,4.0,26.0
FORD,F-150,3.5 LOBO LARIAT CREW CAB AUTO 4WD,FORD,F-150,XL DOBLE CABINA HEV V6 4X2,2022.0,1147000.0,1147000.0,431.0,2.0,804.0
FORD,F-150,3.5 HEV LOBO POWERBOOST LIMITED CC 4WD,FORD,F-150,XL HEV 4X2 DOBLE CABINA 3.5L V6 FHEV,2023.0,1249000.0,1249000.0,431.0,4.0,667.0
LEXUS,NX,2.5 250 AUTO AWD,LEXUS,NX,250 AWD BASE,2022.0,899900.0,899900.0,203.0,3.0,181.0
LEXUS,NX,(O)2.5 250 AUTO AWD,LEXUS,NX,250 AWD BASE,2023.0,940900.0,940900.0,203.0,3.0,373.0
